"source","target"
"Common Grackle","Northern Mockingbird"
"Northern Mockingbird","House Sparrow"
"Pine Siskin","Lesser Goldfinch"
"House Finch","Dark-eyed Junco"
"Northern Cardinal","House Sparrow"
"Northern Cardinal","House Finch"
"House Finch","American Goldfinch"
"Red-bellied Woodpecker","European Starling"
"European Starling","Hairy Woodpecker"
"Dark-eyed Junco","American Goldfinch"
"Red-bellied Woodpecker","Downy Woodpecker"
"Tufted Titmouse","Black-capped Chickadee"
"Downy Woodpecker","White-breasted Nuthatch"
"Common Grackle","Blue Jay"
"Dark-eyed Junco","American Goldfinch"
"Pine Siskin","American Goldfinch"
"House Finch","American Goldfinch"
"Red-bellied Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Red-bellied Woodpecker"
"Pine Siskin","American Goldfinch"
"Downy Woodpecker","Carolina Wren"
"Downy Woodpecker","Yellow-rumped Warbler"
"Blue Jay","House Finch"
"European Starling","Downy Woodpecker"
"European Starling","Northern Flicker"
"Red-bellied Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","Hairy Woodpecker"
"White-breasted Nuthatch","House Finch"
"House Finch","Chestnut-backed Chickadee"
"Mallard","Wood Duck"
"Northern Flicker","Downy Woodpecker"
"Red-breasted Nuthatch","Chestnut-backed Chickadee"
"European Starling","Downy Woodpecker"
"European Starling","Chestnut-backed Chickadee"
"Red-bellied Woodpecker","Red-winged Blackbird"
"Fox Sparrow","Song Sparrow"
"House Finch","House Sparrow"
"Blue Jay","Downy Woodpecker"
"Blue Jay","Carolina Wren"
"Blue Jay","Northern Cardinal"
"Red-bellied Woodpecker","House Sparrow"
"Western Tanager","Carolina Wren"
"Northern Mockingbird","Mourning Dove"
"Northern Mockingbird","Blue Jay"
"Northern Mockingbird","Northern Cardinal"
"Northern Mockingbird","Mourning Dove"
"Northern Mockingbird","Northern Cardinal"
"Northern Mockingbird","Blue Jay"
"Northern Mockingbird","Blue Jay"
"Northern Mockingbird","Mourning Dove"
"Northern Mockingbird","Baltimore Oriole"
"Carolina Chickadee","House Finch"
"Yellow-rumped Warbler","House Finch"
"Baltimore Oriole","Pine Warbler"
"Baltimore Oriole","Chipping Sparrow"
"Red-bellied Woodpecker","American Goldfinch"
"Common Grackle","Northern Cardinal"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"House Sparrow","White-breasted Nuthatch"
"House Sparrow","House Finch"
"European Starling","American Goldfinch"
"Common Grackle","European Starling"
"Downy Woodpecker","Red-breasted Nuthatch"
"Common Grackle","European Starling"
"Hairy Woodpecker","White-breasted Nuthatch"
"Common Grackle","House Sparrow"
"Tufted Titmouse","White-breasted Nuthatch"
"Carolina Wren","Tufted Titmouse"
"Downy Woodpecker","Tufted Titmouse"
"Downy Woodpecker","White-breasted Nuthatch"
"Red-bellied Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Common Grackle","European Starling"
"Red-winged Blackbird","House Finch"
"Red-winged Blackbird","Golden-crowned Sparrow"
"Pine Siskin","Lesser Goldfinch"
"European Starling","Northern Cardinal"
"Common Grackle","Mourning Dove"
"European Starling","Downy Woodpecker"
"House Sparrow","House Finch"
"Common Grackle","House Finch"
"Hairy Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"American Robin","House Finch"
"Mourning Dove","House Finch"
"Red-bellied Woodpecker","House Finch"
"Red-bellied Woodpecker","House Finch"
"Red-bellied Woodpecker","House Finch"
"Red-bellied Woodpecker","House Sparrow"
"European Starling","Downy Woodpecker"
"Carolina Chickadee","House Finch"
"Red-winged Blackbird","House Finch"
"European Starling","Hairy Woodpecker"
"European Starling","House Finch"
"European Starling","House Sparrow"
"Mourning Dove","House Finch"
"American Goldfinch","Red-breasted Nuthatch"
"House Sparrow","Dark-eyed Junco"
"House Sparrow","Tufted Titmouse"
"House Sparrow","Dark-eyed Junco"
"House Sparrow","House Finch"
"Northern Cardinal","House Finch"
"Tufted Titmouse","American Goldfinch"
"Tufted Titmouse","American Goldfinch"
"Carolina Wren","Carolina Chickadee"
"Hairy Woodpecker","House Sparrow"
"Red-bellied Woodpecker","House Sparrow"
"House Sparrow","House Finch"
"House Sparrow","House Finch"
"House Sparrow","House Finch"
"White-breasted Nuthatch","American Goldfinch"
"Red-bellied Woodpecker","Blue Jay"
"Downy Woodpecker","Pine Warbler"
"Boat-tailed Grackle","Blue Jay"
"Boat-tailed Grackle","Blue Jay"
"Boat-tailed Grackle","Northern Cardinal"
"Boat-tailed Grackle","Northern Cardinal"
"Eurasian Collared-Dove","Mourning Dove"
"Northern Mockingbird","Eastern Bluebird"
"American Robin","Northern Cardinal"
"Downy Woodpecker","White-breasted Nuthatch"
"House Finch","American Goldfinch"
"House Finch","American Goldfinch"
"Red-bellied Woodpecker","Downy Woodpecker"
"Red-winged Blackbird","Northern Cardinal"
"European Starling","Red-bellied Woodpecker"
"House Sparrow","Downy Woodpecker"
"Blue Jay","American Goldfinch"
"Blue Jay","Northern Cardinal"
"Blue Jay","Dark-eyed Junco"
"House Finch","American Goldfinch"
"House Finch","Chestnut-backed Chickadee"
"European Starling","House Sparrow"
"Red-bellied Woodpecker","Downy Woodpecker"
"Northern Flicker","Red-bellied Woodpecker"
"House Sparrow","House Finch"
"Northern Mockingbird","Blue Jay"
"Northern Mockingbird","Red-bellied Woodpecker"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Northern Cardinal","Eastern Towhee"
"Northern Mockingbird","Northern Cardinal"
"Red-bellied Woodpecker","Downy Woodpecker"
"Dark-eyed Junco","Tufted Titmouse"
"Purple Finch","Dark-eyed Junco"
"Purple Finch","Dark-eyed Junco"
"Northern Cardinal","Dark-eyed Junco"
"Dark-eyed Junco","Chipping Sparrow"
"Pine Siskin","American Goldfinch"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"White-breasted Nuthatch","Black-capped Chickadee"
"Northern Cardinal","House Finch"
"Northern Cardinal","American Goldfinch"
"Tufted Titmouse","American Goldfinch"
"Dark-eyed Junco","Lesser Goldfinch"
"Pine Siskin","Brown-headed Nuthatch"
"American Goldfinch","Pine Siskin"
"Blue Jay","Downy Woodpecker"
"Red-bellied Woodpecker","Blue Jay"
"Blue Jay","Northern Cardinal"
"Red-bellied Woodpecker","Blue Jay"
"Hairy Woodpecker","Black-capped Chickadee"
"American Tree Sparrow","American Goldfinch"
"White-breasted Nuthatch","Tufted Titmouse"
"Northern Mockingbird","Northern Cardinal"
"Yellow-rumped Warbler","Carolina Chickadee"
"Eastern Towhee","Northern Cardinal"
"Northern Cardinal","American Goldfinch"
"Pine Siskin","American Goldfinch"
"Northern Mockingbird","Pine Siskin"
"American Goldfinch","Pine Siskin"
"Blue Jay","House Sparrow"
"Red-bellied Woodpecker","European Starling"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Dark-eyed Junco","Black-capped Chickadee"
"European Starling","White-breasted Nuthatch"
"Band-tailed Pigeon","Mourning Dove"
"Band-tailed Pigeon","House Finch"
"Band-tailed Pigeon","Lesser Goldfinch"
"House Finch","Lesser Goldfinch"
"American Goldfinch","Lesser Goldfinch"
"Pine Siskin","Lesser Goldfinch"
"Pine Siskin","American Goldfinch"
"Pine Siskin","Downy Woodpecker"
"House Finch","Pine Siskin"
"Common Grackle","Mourning Dove"
"Northern Cardinal","Purple Finch"
"Northern Cardinal","Purple Finch"
"Northern Cardinal","American Goldfinch"
"Dark-eyed Junco","House Finch"
"American Goldfinch","Chipping Sparrow"
"Yellow-rumped Warbler","Carolina Chickadee"
"Yellow-rumped Warbler","Pine Warbler"
"Pine Warbler","Yellow-rumped Warbler"
"House Finch","American Goldfinch"
"Pine Siskin","American Goldfinch"
"Eastern Bluebird","Yellow-rumped Warbler"
"House Sparrow","Song Sparrow"
"Yellow-rumped Warbler","Orange-crowned Warbler"
"House Finch","American Goldfinch"
"Red-bellied Woodpecker","European Starling"
"White-breasted Nuthatch","House Finch"
"Canyon Towhee","Dark-eyed Junco"
"Canyon Towhee","House Finch"
"House Sparrow","White-breasted Nuthatch"
"House Sparrow","White-breasted Nuthatch"
"House Sparrow","Carolina Chickadee"
"Northern Mockingbird","American Goldfinch"
"Northern Mockingbird","Northern Cardinal"
"Northern Mockingbird","White-crowned Sparrow"
"White-crowned Sparrow","Dark-eyed Junco"
"Mourning Dove","White-crowned Sparrow"
"House Finch","Carolina Wren"
"Northern Cardinal","Carolina Wren"
"Northern Cardinal","American Goldfinch"
"Carolina Chickadee","Tufted Titmouse"
"Tufted Titmouse","American Goldfinch"
"Red-bellied Woodpecker","House Sparrow"
"Downy Woodpecker","Tufted Titmouse"
"Blue Jay","House Sparrow"
"House Finch","American Goldfinch"
"House Sparrow","Tufted Titmouse"
"Red-bellied Woodpecker","Northern Cardinal"
"European Starling","Brown-headed Cowbird"
"House Finch","American Goldfinch"
"House Sparrow","Northern Cardinal"
"Northern Cardinal","American Goldfinch"
"House Finch","Tufted Titmouse"
"House Sparrow","House Finch"
"Hairy Woodpecker","Red-breasted Nuthatch"
"Downy Woodpecker","White-breasted Nuthatch"
"Hairy Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Red-breasted Nuthatch","Black-capped Chickadee"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"Red-breasted Nuthatch","American Goldfinch"
"Downy Woodpecker","Carolina Chickadee"
"Blue Jay","Orange-crowned Warbler"
"Downy Woodpecker","Tufted Titmouse"
"Downy Woodpecker","Orange-crowned Warbler"
"European Starling","House Sparrow"
"Red-bellied Woodpecker","Downy Woodpecker"
"Tufted Titmouse","Carolina Chickadee"
"Red-bellied Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Tufted Titmouse"
"Blue Jay","House Sparrow"
"Blue Jay","White-throated Sparrow"
"House Sparrow","Carolina Chickadee"
"House Finch","American Goldfinch"
"Blue Jay","Northern Cardinal"
"Red-bellied Woodpecker","Downy Woodpecker"
"American Goldfinch","Purple Finch"
"Red-bellied Woodpecker","Eastern Bluebird"
"Purple Finch","American Goldfinch"
"Northern Flicker","Eastern Bluebird"
"Northern Flicker","Hairy Woodpecker"
"Red-bellied Woodpecker","Hairy Woodpecker"
"House Finch","American Goldfinch"
"Northern Cardinal","American Goldfinch"
"Northern Cardinal","White-throated Sparrow"
"Northern Cardinal","Song Sparrow"
"Pine Warbler","Yellow-rumped Warbler"
"Eastern Bluebird","House Finch"
"House Sparrow","American Goldfinch"
"European Starling","Northern Flicker"
"European Starling","Yellow-rumped Warbler"
"European Starling","Northern Flicker"
"Red-bellied Woodpecker","Blue Jay"
"Red-bellied Woodpecker","Downy Woodpecker"
"Blue Jay","Mourning Dove"
"Blue Jay","House Sparrow"
"Blue Jay","Pine Siskin"
"Blue Jay","Downy Woodpecker"
"European Starling","Downy Woodpecker"
"Hairy Woodpecker","Blue Jay"
"Downy Woodpecker","House Sparrow"
"Hairy Woodpecker","House Sparrow"
"House Sparrow","Downy Woodpecker"
"House Sparrow","White-breasted Nuthatch"
"House Sparrow","American Goldfinch"
"Tufted Titmouse","White-breasted Nuthatch"
"Red-bellied Woodpecker","Downy Woodpecker"
"Downy Woodpecker","White-breasted Nuthatch"
"Common Grackle","House Sparrow"
"Common Grackle","House Sparrow"
"European Starling","Hairy Woodpecker"
"Dark-eyed Junco","Black-capped Chickadee"
"Dark-eyed Junco","American Goldfinch"
"Downy Woodpecker","House Finch"
"Downy Woodpecker","American Goldfinch"
"Tufted Titmouse","Black-capped Chickadee"
"Baltimore Oriole","American Goldfinch"
"House Finch","Black-capped Chickadee"
"Song Sparrow","Dark-eyed Junco"
"Tufted Titmouse","Black-capped Chickadee"
"Red-winged Blackbird","House Finch"
"Brown-headed Cowbird","Tufted Titmouse"
"American Crow","Common Redpoll"
"Hairy Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Blue Jay","Common Redpoll"
"Blue Jay","Pine Grosbeak"
"Blue Jay","Downy Woodpecker"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Red-bellied Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Red-winged Blackbird","House Finch"
"Blue Jay","House Finch"
"Blue Jay","House Finch"
"Blue Jay","House Sparrow"
"European Starling","Hairy Woodpecker"
"European Starling","House Sparrow"
"European Starling","House Finch"
"European Starling","Downy Woodpecker"
"Mourning Dove","House Finch"
"House Sparrow","House Finch"
"House Sparrow","House Finch"
"House Sparrow","House Finch"
"Northern Mockingbird","Baltimore Oriole"
"American Goldfinch","Carolina Chickadee"
"Northern Mockingbird","Northern Cardinal"
"Northern Mockingbird","White-throated Sparrow"
"Song Sparrow","American Goldfinch"
"Common Grackle","European Starling"
"European Starling","Hairy Woodpecker"
"House Finch","American Goldfinch"
"European Starling","House Finch"
"Blue Jay","Downy Woodpecker"
"Blue Jay","House Finch"
"Blue Jay","Northern Cardinal"
"Blue Jay","House Finch"
"Eastern Bluebird","House Finch"
"House Finch","American Goldfinch"
"American Goldfinch","House Finch"
"Lesser Goldfinch","Pine Siskin"
"Black-crested Titmouse","Pine Siskin"
"White-breasted Nuthatch","American Goldfinch"
"White-breasted Nuthatch","American Goldfinch"
"Downy Woodpecker","Red-breasted Nuthatch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"White-throated Sparrow","White-crowned Sparrow"
"Northern Mockingbird","Northern Cardinal"
"House Finch","American Goldfinch"
"Mourning Dove","House Finch"
"American Goldfinch","Lesser Goldfinch"
"Hairy Woodpecker","Downy Woodpecker"
"Dark-eyed Junco","Hermit Thrush"
"Northern Mockingbird","Northern Cardinal"
"Northern Mockingbird","Blue Jay"
"Red-bellied Woodpecker","Red-winged Blackbird"
"Boat-tailed Grackle","Blue Jay"
"Boat-tailed Grackle","Northern Cardinal"
"Eurasian Collared-Dove","Mourning Dove"
"Eurasian Collared-Dove","Mourning Dove"
"House Sparrow","House Finch"
"Carolina Wren","Yellow-rumped Warbler"
"House Finch","Tufted Titmouse"
"Northern Cardinal","Pine Siskin"
"Northern Cardinal","American Goldfinch"
"Pine Siskin","American Goldfinch"
"Red-bellied Woodpecker","Pine Siskin"
"Eastern Bluebird","Pine Siskin"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Red-breasted Nuthatch","Boreal Chickadee"
"Red-breasted Nuthatch","Boreal Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"House Finch","Black-capped Chickadee"
"House Finch","Red-breasted Nuthatch"
"House Finch","Cassin's Finch"
"House Finch","Dark-eyed Junco"
"Red-breasted Nuthatch","Boreal Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Pine Siskin","House Finch"
"House Finch","American Goldfinch"
"Blue Jay","House Finch"
"Northern Cardinal","House Finch"
"Dark-eyed Junco","House Finch"
"Northern Cardinal","Pine Siskin"
"Pine Warbler","Yellow-rumped Warbler"
"European Starling","Carolina Wren"
"White-breasted Nuthatch","Black-capped Chickadee"
"White-breasted Nuthatch","Dark-eyed Junco"
"Northern Cardinal","American Tree Sparrow"
"American Goldfinch","Black-capped Chickadee"
"Tufted Titmouse","Black-capped Chickadee"
"Band-tailed Pigeon","Mourning Dove"
"Red-bellied Woodpecker","American Goldfinch"
"Hairy Woodpecker","American Goldfinch"
"Northern Flicker","White-breasted Nuthatch"
"Northern Flicker","American Goldfinch"
"Red-bellied Woodpecker","Northern Flicker"
"Red-bellied Woodpecker","American Goldfinch"
"Northern Flicker","American Goldfinch"
"Red-bellied Woodpecker","Northern Flicker"
"House Finch","American Goldfinch"
"Blue Jay","House Sparrow"
"European Starling","Red-bellied Woodpecker"
"House Sparrow","House Finch"
"Downy Woodpecker","Tufted Titmouse"
"House Sparrow","Downy Woodpecker"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"White-crowned Sparrow","House Sparrow"
"Oak Titmouse","Lesser Goldfinch"
"Pine Siskin","American Goldfinch"
"Common Grackle","House Sparrow"
"European Starling","Carolina Wren"
"Black-capped Chickadee","Dark-eyed Junco"
"Hairy Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Tufted Titmouse"
"Purple Finch","Red-breasted Nuthatch"
"Red-breasted Nuthatch","Purple Finch"
"Red-breasted Nuthatch","American Goldfinch"
"Mourning Dove","Dark-eyed Junco"
"European Starling","Northern Flicker"
"European Starling","Blue Jay"
"Hairy Woodpecker","Yellow-rumped Warbler"
"Blue Jay","Northern Cardinal"
"Pileated Woodpecker","Hairy Woodpecker"
"House Finch","American Goldfinch"
"European Starling","Red-breasted Nuthatch"
"Northern Flicker","Downy Woodpecker"
"Common Grackle","House Sparrow"
"Common Grackle","House Finch"
"Blue Jay","House Sparrow"
"Blue Jay","House Sparrow"
"Red-bellied Woodpecker","Blue Jay"
"Red-bellied Woodpecker","Blue Jay"
"European Starling","Downy Woodpecker"
"European Starling","Downy Woodpecker"
"Red-bellied Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Ruby-crowned Kinglet"
"European Starling","American Goldfinch"
"Hairy Woodpecker","European Starling"
"Hairy Woodpecker","House Sparrow"
"Western Tanager","House Sparrow"
"House Finch","American Goldfinch"
"Blue Jay","Downy Woodpecker"
"European Starling","House Sparrow"
"Yellow-bellied Sapsucker","White-breasted Nuthatch"
"Northern Cardinal","Mourning Dove"
"House Sparrow","Dark-eyed Junco"
"Black-capped Chickadee","Tufted Titmouse"
"House Finch","Northern Cardinal"
"Dark-eyed Junco","Tufted Titmouse"
"Tufted Titmouse","Downy Woodpecker"
"Downy Woodpecker","Tufted Titmouse"
"House Sparrow","Dark-eyed Junco"
"House Sparrow","Dark-eyed Junco"
"Northern Cardinal","House Finch"
"Carolina Wren","Northern Cardinal"
"Yellow-bellied Sapsucker","Downy Woodpecker"
"Yellow-bellied Sapsucker","Downy Woodpecker"
"European Starling","House Sparrow"
"Red-bellied Woodpecker","European Starling"
"Red-bellied Woodpecker","Northern Cardinal"
"Common Grackle","Northern Cardinal"
"Common Grackle","House Sparrow"
"Northern Cardinal","House Finch"
"Dark-eyed Junco","American Tree Sparrow"
"European Starling","House Finch"
"Northern Cardinal","House Finch"
"House Finch","American Goldfinch"
"Common Grackle","Northern Flicker"
"Northern Mockingbird","House Finch"
"Red-winged Blackbird","House Finch"
"Northern Cardinal","Dark-eyed Junco"
"House Finch","American Goldfinch"
"Brown-headed Cowbird","Dark-eyed Junco"
"Northern Cardinal","Song Sparrow"
"Carolina Wren","American Goldfinch"
"Northern Cardinal","Carolina Wren"
"House Finch","Black-capped Chickadee"
"White-throated Sparrow","House Finch"
"Hairy Woodpecker","House Sparrow"
"Hairy Woodpecker","House Sparrow"
"Hairy Woodpecker","House Sparrow"
"Hairy Woodpecker","House Sparrow"
"Hairy Woodpecker","House Sparrow"
"Blue Jay","Northern Cardinal"
"Common Redpoll","Pine Siskin"
"Blue Jay","Common Redpoll"
"Pine Siskin","House Finch"
"Pine Siskin","Lesser Goldfinch"
"Lesser Goldfinch","Pine Siskin"
"European Starling","Northern Cardinal"
"Common Grackle","Northern Cardinal"
"Downy Woodpecker","House Finch"
"Common Grackle","European Starling"
"Red-bellied Woodpecker","European Starling"
"Common Grackle","House Sparrow"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"American Goldfinch","House Finch"
"American Goldfinch","Dark-eyed Junco"
"White-throated Sparrow","Dark-eyed Junco"
"Downy Woodpecker","White-breasted Nuthatch"
"White-breasted Nuthatch","Tufted Titmouse"
"Tufted Titmouse","Black-capped Chickadee"
"Downy Woodpecker","White-breasted Nuthatch"
"Common Grackle","Red-winged Blackbird"
"Northern Cardinal","American Goldfinch"
"House Finch","American Goldfinch"
"House Finch","American Goldfinch"
"Pine Siskin","American Goldfinch"
"American Goldfinch","Carolina Chickadee"
"White-breasted Nuthatch","Carolina Chickadee"
"Downy Woodpecker","White-breasted Nuthatch"
"House Finch","American Goldfinch"
"Downy Woodpecker","Carolina Chickadee"
"Pine Warbler","Ruby-crowned Kinglet"
"Tufted Titmouse","Carolina Chickadee"
"Carolina Wren","Carolina Chickadee"
"House Finch","Carolina Chickadee"
"Tufted Titmouse","Carolina Chickadee"
"Pine Siskin","American Goldfinch"
"House Finch","Pine Siskin"
"Red-bellied Woodpecker","Carolina Chickadee"
"Red-bellied Woodpecker","Carolina Wren"
"Northern Mockingbird","Carolina Chickadee"
"Northern Mockingbird","Carolina Wren"
"Pileated Woodpecker","Common Grackle"
"Downy Woodpecker","House Sparrow"
"White-breasted Nuthatch","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Sparrow"
"Hairy Woodpecker","House Sparrow"
"House Finch","American Goldfinch"
"House Finch","American Goldfinch"
"Pine Siskin","Carolina Chickadee"
"Pine Siskin","Tufted Titmouse"
"Pine Siskin","White-breasted Nuthatch"
"Pine Siskin","American Goldfinch"
"White-breasted Nuthatch","Tufted Titmouse"
"White-breasted Nuthatch","Carolina Chickadee"
"American Crow","Eastern Towhee"
"American Crow","Northern Cardinal"
"American Crow","Dark-eyed Junco"
"American Crow","Mourning Dove"
"Carolina Wren","Carolina Chickadee"
"Carolina Wren","American Goldfinch"
"Carolina Wren","Tufted Titmouse"
"Northern Mockingbird","Northern Cardinal"
"Yellow-rumped Warbler","Pine Warbler"
"Yellow-rumped Warbler","Tufted Titmouse"
"Yellow-rumped Warbler","Gray Catbird"
"Gray Catbird","Yellow-rumped Warbler"
"Blue Jay","Pine Grosbeak"
"Evening Grosbeak","Pine Grosbeak"
"Evening Grosbeak","Pine Grosbeak"
"Evening Grosbeak","Common Redpoll"
"Evening Grosbeak","Common Redpoll"
"Pine Grosbeak","Common Redpoll"
"Pine Grosbeak","Common Redpoll"
"Lesser Goldfinch","Pine Siskin"
"White-breasted Nuthatch","Carolina Wren"
"Dark-eyed Junco","American Goldfinch"
"American Tree Sparrow","American Goldfinch"
"American Tree Sparrow","American Goldfinch"
"House Finch","American Tree Sparrow"
"Song Sparrow","House Finch"
"Song Sparrow","American Goldfinch"
"Northern Mockingbird","Blue Jay"
"Northern Mockingbird","White-breasted Nuthatch"
"Pine Warbler","Yellow-rumped Warbler"
"House Finch","American Goldfinch"
"Palm Warbler","Yellow-rumped Warbler"
"Red-bellied Woodpecker","Downy Woodpecker"
"European Starling","House Sparrow"
"House Sparrow","Northern Cardinal"
"Red-bellied Woodpecker","European Starling"
"Red-bellied Woodpecker","House Sparrow"
"European Starling","Red-bellied Woodpecker"
"European Starling","Dark-eyed Junco"
"Northern Cardinal","American Tree Sparrow"
"White-breasted Nuthatch","American Goldfinch"
"Hairy Woodpecker","Downy Woodpecker"
"Tufted Titmouse","House Finch"
"Red-bellied Woodpecker","House Sparrow"
"Downy Woodpecker","Tufted Titmouse"
"Common Grackle","Mourning Dove"
"Common Grackle","European Starling"
"Common Grackle","Downy Woodpecker"
"Common Grackle","House Sparrow"
"Common Grackle","Hairy Woodpecker"
"Common Grackle","Tufted Titmouse"
"European Starling","House Sparrow"
"White-throated Sparrow","Dark-eyed Junco"
"Northern Cardinal","House Finch"
"Common Grackle","House Sparrow"
"Common Grackle","House Sparrow"
"Common Grackle","House Sparrow"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"European Starling","House Sparrow"
"Common Grackle","House Sparrow"
"Northern Cardinal","House Finch"
"European Starling","Red-bellied Woodpecker"
"White-throated Sparrow","House Finch"
"Blue Jay","House Finch"
"Red-bellied Woodpecker","Downy Woodpecker"
"European Starling","Blue Jay"
"European Starling","Downy Woodpecker"
"European Starling","Northern Flicker"
"Blue Jay","Downy Woodpecker"
"Red-bellied Woodpecker","Yellow-rumped Warbler"
"White-breasted Nuthatch","American Goldfinch"
"White-breasted Nuthatch","Dark-eyed Junco"
"White-breasted Nuthatch","Black-capped Chickadee"
"Dark-eyed Junco","American Goldfinch"
"Blue Jay","Northern Cardinal"
"Blue Jay","White-breasted Nuthatch"
"Hairy Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Brown Creeper"
"Downy Woodpecker","Black-capped Chickadee"
"Blue Jay","Northern Cardinal"
"Dark-eyed Junco","American Goldfinch"
"Downy Woodpecker","White-breasted Nuthatch"
"Downy Woodpecker","American Goldfinch"
"Downy Woodpecker","Red-breasted Nuthatch"
"Hairy Woodpecker","Red-breasted Nuthatch"
"Hairy Woodpecker","Downy Woodpecker"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Tufted Titmouse","American Goldfinch"
"White-breasted Nuthatch","American Goldfinch"
"Red-breasted Nuthatch","American Goldfinch"
"Red-breasted Nuthatch","American Goldfinch"
"Downy Woodpecker","American Goldfinch"
"American Goldfinch","Purple Finch"
"Red-winged Blackbird","House Finch"
"House Finch","American Goldfinch"
"Northern Flicker","Chestnut-backed Chickadee"
"House Finch","Chestnut-backed Chickadee"
"European Starling","Downy Woodpecker"
"House Sparrow","House Finch"
